municipality,year,cobertura_de_salud_primaria_municipal
TEMUCO,2018,64.16
CARAHUE,2018,64.06
CUNCO,2018,57.43
FREIRE,2018,94.74
GALVARINO,2018,64.28
GORBEA,2018,46.71
LONCOCHE,2018,46.35
MELIPEUCO,2018,98.38
NUEVA IMPERIAL,2018,98.45
PADRE LAS CASAS,2018,77.36
PERQUENCO,2018,76.99
PITRUFQUÉN,2018,93.71
PUCÓN,2018,80.5
SAAVEDRA,2018,87.88
TEODORO SCHMIDT,2018,88.25
TOLTÉN,2018,53.26
VILCÚN,2018,60.41
VILLARRICA,2018,87.21
CHOLCHOL,2018,96.46
ANGOL,2018,90.96
COLLIPULLI,2018,30.66
CURACAUTÍN,2018,15.92
ERCILLA,2018,93.15
LONQUIMAY,2018,44.31
LUMACO,2018,86.91
PURÉN,2018,12.49
RENAICO,2018,99.78
TRAIGUÉN,2018,29.44
TEMUCO,2017,63.63
CARAHUE,2017,61.42
CUNCO,2017,52.15
FREIRE,2017,93.29
GALVARINO,2017,65.23
GORBEA,2017,46.16
LAUTARO,2017,99.08
LONCOCHE,2017,45.07
NUEVA IMPERIAL,2017,93.91
PADRE LAS CASAS,2017,79.03
PERQUENCO,2017,77.55
PITRUFQUÉN,2017,92.32
PUCÓN,2017,77.79
SAAVEDRA,2017,85.72
TEODORO SCHMIDT,2017,88.17
TOLTÉN,2017,52.58
VILCÚN,2017,55.9
VILLARRICA,2017,85.52
CHOLCHOL,2017,89.07
ANGOL,2017,90.21
COLLIPULLI,2017,28.93
CURACAUTÍN,2017,15.97
ERCILLA,2017,91.96
LONQUIMAY,2017,44.37
LUMACO,2017,86.28
PURÉN,2017,12.86
TRAIGUÉN,2017,23.77
TEMUCO,2016,63.69
CARAHUE,2016,50.46
CUNCO,2016,46.72
CURARREHUE,2016,92.71
FREIRE,2016,93.84
GALVARINO,2016,68.04
GORBEA,2016,47.27
LAUTARO,2016,95.97
LONCOCHE,2016,42.22
NUEVA IMPERIAL,2016,91.98
PADRE LAS CASAS,2016,80.22
PERQUENCO,2016,77.22
PITRUFQUÉN,2016,90.23
PUCÓN,2016,73.73
SAAVEDRA,2016,85
TEODORO SCHMIDT,2016,86.2
TOLTÉN,2016,53.79
VILCÚN,2016,55.54
VILLARRICA,2016,86.93
CHOLCHOL,2016,83.4
ANGOL,2016,89.83
COLLIPULLI,2016,27.84
CURACAUTÍN,2016,16.37
ERCILLA,2016,89.37
LONQUIMAY,2016,43.91
LUMACO,2016,86.38
PURÉN,2016,12.96
TRAIGUÉN,2016,22.84
TEMUCO,2015,62.86
CARAHUE,2015,51.65
CUNCO,2015,46.71
CURARREHUE,2015,86.97
FREIRE,2015,95.17
GALVARINO,2015,68.13
GORBEA,2015,47.94
LAUTARO,2015,95.27
LONCOCHE,2015,43.56
NUEVA IMPERIAL,2015,91.55
PADRE LAS CASAS,2015,81.57
PERQUENCO,2015,74.78
PITRUFQUÉN,2015,88.73
PUCÓN,2015,74.71
SAAVEDRA,2015,84.09
TEODORO SCHMIDT,2015,84.31
TOLTÉN,2015,54.35
VILCÚN,2015,54.58
VILLARRICA,2015,86.01
CHOLCHOL,2015,86.29
ANGOL,2015,89
COLLIPULLI,2015,23.66
CURACAUTÍN,2015,16.59
ERCILLA,2015,77.8
LONQUIMAY,2015,42.3
LUMACO,2015,86.76
PURÉN,2015,11.41
RENAICO,2015,98.79
TRAIGUÉN,2015,23.37
