region,year,percent_nm__mh_ingresos
Araucanía,1990,62.17
Araucanía,1990,16.73
Araucanía,1990,21.1
Araucanía,1992,55.66
Araucanía,1992,19.74
Araucanía,1992,24.6
Araucanía,1994,43.13
Araucanía,1994,21.2
Araucanía,1994,35.67
Araucanía,1996,44.67
Araucanía,1996,21.4
Araucanía,1996,33.94
Araucanía,1998,42.29
Araucanía,1998,18.86
Araucanía,1998,38.85
Araucanía,2000,36.45
Araucanía,2000,22.24
Araucanía,2000,41.31
Araucanía,2003,36.92
Araucanía,2003,21.95
Araucanía,2003,41.13
Araucanía,2006,
Araucanía,2006,
Araucanía,2006,
Araucanía,2009,
Araucanía,2009,
Araucanía,2009,
Araucanía,2011,
Araucanía,2011,
Araucanía,2011,
Araucanía,2013,
Araucanía,2013,
Araucanía,2013,
Araucanía,2015,
Araucanía,2015,
Araucanía,2015,
Araucanía,2017,
Araucanía,2017,
Araucanía,2017,
