"","comuna","n_apr"
"1","ANGOL",5
"2","CARAHUE",8
"3","CHOLCHOL",4
"4","COLLIPULLI",7
"5","CUNCO",8
"6","CURACAUTÍN",7
"7","CURARREHUE",3
"8","ERCILLA",8
"9","FREIRE",12
"10","GALVARINO",3
"11","GORBEA",1
"12","LAUTARO",6
"13","LONCOCHE",6
"14","LONQUIMAY",7
"15","LOS SAUCES",1
"16","LUMACO",3
"17","MELIPEUCO",3
"18","NUEVA IMPERIAL",15
"19","PADRE LAS CASAS",8
"20","PERQUENCO",3
"21","PITRUFQUÉN",10
"22","PUCÓN",8
"23","PURÉN",6
"24","RENAICO",4
"25","SAAVEDRA",3
"26","TEMUCO",6
"27","TEODORO SCHMIDT",5
"28","TOLTÉN",5
"29","TRAIGUÉN",1
"30","VICTORIA",5
"31","VILCÚN",8
"32","VILLARRICA",11
