municipality,year,cobertura_de_agua_potable
TEMUCO,2018,95.64
CARAHUE,2018,65.73
CUNCO,2018,63.24
CURARREHUE,2018,37.49
FREIRE,2018,50.77
GALVARINO,2018,36.9
GORBEA,2018,72.43
LAUTARO,2018,76.11
LONCOCHE,2018,73.86
MELIPEUCO,2018,65.1
NUEVA IMPERIAL,2018,74.77
PADRE LAS CASAS,2018,73.32
PERQUENCO,2018,72.34
PITRUFQUÉN,2018,78.64
PUCÓN,2018,67.84
SAAVEDRA,2018,37.65
TEODORO SCHMIDT,2018,50.78
TOLTÉN,2018,52.77
VILCÚN,2018,66.47
VILLARRICA,2018,70.31
CHOLCHOL,2018,54.18
ANGOL,2018,92.36
COLLIPULLI,2018,80.71
CURACAUTÍN,2018,80.75
ERCILLA,2018,60.5
LONQUIMAY,2018,44.38
LOS SAUCES,2018,63.96
LUMACO,2018,50.16
PURÉN,2018,78.69
RENAICO,2018,86.53
TRAIGUÉN,2018,79.35
VICTORIA,2018,79.09
TEMUCO,2016,94.86
CARAHUE,2016,52.33
CUNCO,2016,55.44
CURARREHUE,2016,37.22
FREIRE,2016,43.31
GALVARINO,2016,31.46
GORBEA,2016,66.18
LAUTARO,2016,67.89
LONCOCHE,2016,67.38
MELIPEUCO,2016,49.19
NUEVA IMPERIAL,2016,58.78
PADRE LAS CASAS,2016,62.85
PERQUENCO,2016,50.28
PITRUFQUÉN,2016,66.49
PUCÓN,2016,69.44
SAAVEDRA,2016,31.62
TEODORO SCHMIDT,2016,41.87
TOLTÉN,2016,50.08
VILCÚN,2016,54.3
VILLARRICA,2016,69.69
CHOLCHOL,2016,34.36
ANGOL,2016,90.29
COLLIPULLI,2016,76.02
CURACAUTÍN,2016,80.38
ERCILLA,2016,56.24
LONQUIMAY,2016,43.2
LOS SAUCES,2016,56.68
LUMACO,2016,40.81
PURÉN,2016,73.56
RENAICO,2016,80.08
TRAIGUÉN,2016,75.99
VICTORIA,2016,78.64
TEMUCO,2015,94.86
CARAHUE,2015,52.33
CUNCO,2015,55.44
CURARREHUE,2015,37.22
FREIRE,2015,43.31
GALVARINO,2015,31.46
GORBEA,2015,66.18
LAUTARO,2015,67.89
LONCOCHE,2015,67.38
MELIPEUCO,2015,49.19
