municipality,year,numero_de_postas_de_salud_rural_psr
TEMUCO,2018,2
CARAHUE,2018,14
CUNCO,2018,6
CURARREHUE,2018,6
FREIRE,2018,8
GORBEA,2018,6
LAUTARO,2018,10
LONCOCHE,2018,6
MELIPEUCO,2018,3
NUEVA IMPERIAL,2018,8
PADRE LAS CASAS,2018,6
PERQUENCO,2018,2
PITRUFQUÉN,2018,6
PUCÓN,2018,4
SAAVEDRA,2018,14
TEODORO SCHMIDT,2018,4
TOLTÉN,2018,7
VILCÚN,2018,5
VILLARRICA,2018,2
CHOLCHOL,2018,3
ANGOL,2018,3
COLLIPULLI,2018,5
CURACAUTÍN,2018,8
ERCILLA,2018,4
LONQUIMAY,2018,9
LOS SAUCES,2018,4
LUMACO,2018,5
PURÉN,2018,5
RENAICO,2018,0
TRAIGUÉN,2018,6
VICTORIA,2018,6
TEMUCO,2017,2
CARAHUE,2017,14
CUNCO,2017,6
CURARREHUE,2017,6
FREIRE,2017,8
GALVARINO,2017,10
GORBEA,2017,5
LAUTARO,2017,10
LONCOCHE,2017,6
MELIPEUCO,2017,3
NUEVA IMPERIAL,2017,8
PADRE LAS CASAS,2017,7
PERQUENCO,2017,2
PITRUFQUÉN,2017,6
PUCÓN,2017,4
SAAVEDRA,2017,14
TEODORO SCHMIDT,2017,4
TOLTÉN,2017,7
VILCÚN,2017,5
VILLARRICA,2017,3
CHOLCHOL,2017,3
ANGOL,2017,3
COLLIPULLI,2017,6
CURACAUTÍN,2017,8
ERCILLA,2017,4
LONQUIMAY,2017,8
LOS SAUCES,2017,4
LUMACO,2017,6
PURÉN,2017,5
RENAICO,2017,0
TRAIGUÉN,2017,6
VICTORIA,2017,6
TEMUCO,2016,2
CARAHUE,2016,14
CUNCO,2016,6
CURARREHUE,2016,6
FREIRE,2016,8
GALVARINO,2016,10
GORBEA,2016,5
LAUTARO,2016,11
LONCOCHE,2016,6
MELIPEUCO,2016,3
NUEVA IMPERIAL,2016,8
PADRE LAS CASAS,2016,7
PERQUENCO,2016,2
PITRUFQUÉN,2016,6
PUCÓN,2016,4
SAAVEDRA,2016,14
TEODORO SCHMIDT,2016,4
TOLTÉN,2016,7
VILCÚN,2016,5
VILLARRICA,2016,3
CHOLCHOL,2016,3
ANGOL,2016,3
COLLIPULLI,2016,5
CURACAUTÍN,2016,8
ERCILLA,2016,5
LONQUIMAY,2016,8
LOS SAUCES,2016,4
LUMACO,2016,5
PURÉN,2016,5
RENAICO,2016,1
TRAIGUÉN,2016,6
VICTORIA,2016,7
TEMUCO,2015,2
CARAHUE,2015,14
CUNCO,2015,6
CURARREHUE,2015,6
FREIRE,2015,8
GALVARINO,2015,10
GORBEA,2015,5
LAUTARO,2015,11
LONCOCHE,2015,6
MELIPEUCO,2015,3
NUEVA IMPERIAL,2015,8
PADRE LAS CASAS,2015,6
PERQUENCO,2015,2
PITRUFQUÉN,2015,6
PUCÓN,2015,4
SAAVEDRA,2015,14
TEODORO SCHMIDT,2015,5
TOLTÉN,2015,7
VILCÚN,2015,7
VILLARRICA,2015,3
CHOLCHOL,2015,3
ANGOL,2015,3
COLLIPULLI,2015,6
CURACAUTÍN,2015,8
ERCILLA,2015,5
LONQUIMAY,2015,8
LOS SAUCES,2015,4
LUMACO,2015,5
PURÉN,2015,5
RENAICO,2015,3
TRAIGUÉN,2015,6
VICTORIA,2015,7
