municipality,year,poblacion_inscrita_validada_en_servicios_de_salud_municipal_fonasa
TEMUCO,2018,189102
CARAHUE,2018,16917
CUNCO,2018,10833
CURARREHUE,2018,7939
FREIRE,2018,22966
GALVARINO,2018,7976
GORBEA,2018,7279
LAUTARO,2018,38102
LONCOCHE,2018,10751
MELIPEUCO,2018,5722
NUEVA IMPERIAL,2018,33246
PADRE LAS CASAS,2018,72536
PERQUENCO,2018,5671
PITRUFQUÉN,2018,23437
PUCÓN,2018,23403
SAAVEDRA,2018,11048
TEODORO SCHMIDT,2018,14204
TOLTÉN,2018,6028
VILCÚN,2018,17300
VILLARRICA,2018,49438
CHOLCHOL,2018,11690
ANGOL,2018,51031
COLLIPULLI,2018,7595
CURACAUTÍN,2018,2714
ERCILLA,2018,8488
LONQUIMAY,2018,4867
LOS SAUCES,2018,8039
LUMACO,2018,9703
PURÉN,2018,1602
RENAICO,2018,10780
TRAIGUÉN,2018,5782
VICTORIA,2018,38011
TEMUCO,2017,186134
CARAHUE,2017,16255
CUNCO,2017,9870
CURARREHUE,2017,7571
FREIRE,2017,22773
GALVARINO,2017,8134
GORBEA,2017,7210
LAUTARO,2017,36997
LONCOCHE,2017,10489
MELIPEUCO,2017,5908
NUEVA IMPERIAL,2017,31605
PADRE LAS CASAS,2017,72269
PERQUENCO,2017,5683
PITRUFQUÉN,2017,22986
PUCÓN,2017,22254
SAAVEDRA,2017,10891
TEODORO SCHMIDT,2017,14217
TOLTÉN,2017,5972
VILCÚN,2017,15835
VILLARRICA,2017,48011
CHOLCHOL,2017,10712
ANGOL,2017,50378
COLLIPULLI,2017,7148
CURACAUTÍN,2017,2732
ERCILLA,2017,8405
LONQUIMAY,2017,4872
LOS SAUCES,2017,8053
LUMACO,2017,9678
PURÉN,2017,1657
RENAICO,2017,10852
TRAIGUÉN,2017,4685
VICTORIA,2017,38012
TEMUCO,2016,184854
CARAHUE,2016,13380
CUNCO,2016,8872
CURARREHUE,2016,6922
FREIRE,2016,23070
GALVARINO,2016,8521
GORBEA,2016,7398
LAUTARO,2016,35623
LONCOCHE,2016,9859
MELIPEUCO,2016,6028
NUEVA IMPERIAL,2016,30838
PADRE LAS CASAS,2016,71524
PERQUENCO,2016,5637
PITRUFQUÉN,2016,22372
PUCÓN,2016,20753
SAAVEDRA,2016,10914
TEODORO SCHMIDT,2016,13919
TOLTÉN,2016,6127
VILCÚN,2016,15548
VILLARRICA,2016,48318
CHOLCHOL,2016,9955
ANGOL,2016,49919
COLLIPULLI,2016,6860
CURACAUTÍN,2016,2810
ERCILLA,2016,8193
LONQUIMAY,2016,4814
LOS SAUCES,2016,7960
LUMACO,2016,9735
PURÉN,2016,1675
RENAICO,2016,10726
TRAIGUÉN,2016,4515
VICTORIA,2016,38380
TEMUCO,2015,180942
CARAHUE,2015,13719
CUNCO,2015,8896
CURARREHUE,2015,6473
FREIRE,2015,23552
GALVARINO,2015,8567
GORBEA,2015,7519
LAUTARO,2015,35142
LONCOCHE,2015,10204
MELIPEUCO,2015,6225
NUEVA IMPERIAL,2015,30566
PADRE LAS CASAS,2015,70899
PERQUENCO,2015,5434
PITRUFQUÉN,2015,21892
PUCÓN,2015,20681
SAAVEDRA,2015,10913
TEODORO SCHMIDT,2015,13627
TOLTÉN,2015,6208
VILCÚN,2015,15104
VILLARRICA,2015,47305
CHOLCHOL,2015,10212
ANGOL,2015,49208
COLLIPULLI,2015,5815
CURACAUTÍN,2015,2857
ERCILLA,2015,7155
LONQUIMAY,2015,4635
LOS SAUCES,2015,8135
LUMACO,2015,9828
PURÉN,2015,1480
RENAICO,2015,10454
TRAIGUÉN,2015,4635
VICTORIA,2015,38705
