region,year,monto
Arica y  Parinacota,2015,43836
Arica y  Parinacota,2016,213325
Arica y  Parinacota,2017,297204.76
Arica y  Parinacota,2018,303143
Tarapacá,2015,131365
Tarapacá,2016,341358
Tarapacá,2017,709368.48
Tarapacá,2018,808167
Antofagasta,2015,157681
Antofagasta,2016,266578
Antofagasta,2017,346373.5
Antofagasta,2018,338715
Atacama,2015,11540
Atacama,2016,20614
Atacama,2017,34182.67
Atacama,2018,43544
Coquimbo,2015,0
Coquimbo,2016,0
Coquimbo,2017,0
Coquimbo,2018,0
Valparaíso,2015,186606
Valparaíso,2016,168522
Valparaíso,2017,202360.1
Valparaíso,2018,222248
Metropolitana,2015,0
Metropolitana,2016,0
Metropolitana,2017,0
Metropolitana,2018,0
O'Higgins,2015,0
O'Higgins,2016,0
O'Higgins,2017,0
O'Higgins,2018,0
Maule,2015,0
Maule,2016,0
Maule,2017,0
Maule,2018,0
Biobío,2015,1737681
Biobío,2016,2374681
Biobío,2017,2604516.54
Biobío,2018,2697577
Araucanía,2015,13943079
Araucanía,2016,19747898
Araucanía,2017,21311879.55
Araucanía,2018,22292001
Los Ríos,2015,1824988
Los Ríos,2016,2269188
Los Ríos,2017,2314319.27
Los Ríos,2018,2374704
Los Lagos,2015,2063826
Los Lagos,2016,2578120
Los Lagos,2017,2717255.91
Los Lagos,2018,3181778
Ays�n del General Carlos Ib�?ez del Campo,2015,35403
Ays�n del General Carlos Ib�?ez del Campo,2016,39312
Ays�n del General Carlos Ib�?ez del Campo,2017,39151.9
Ays�n del General Carlos Ib�?ez del Campo,2018,40515
Magallanes,2015,0
Magallanes,2016,0
Magallanes,2017,0
Magallanes,2018,0
