municipality,year,personas_inscritas_en_la_municipalidad_en_busca_de_empleo
TEMUCO,2018,3826
CARAHUE,2018,912
CUNCO,2018,1150
CURARREHUE,2018,242
FREIRE,2018,1034
GALVARINO,2018,700
GORBEA,2018,800
LAUTARO,2018,1568
LONCOCHE,2018,1127
MELIPEUCO,2018,201
NUEVA IMPERIAL,2018,2044
PADRE LAS CASAS,2018,2726
PERQUENCO,2018,786
PITRUFQUÉN,2018,626
PUCÓN,2018,1604
SAAVEDRA,2018,1430
TEODORO SCHMIDT,2018,1200
TOLTÉN,2018,800
VILCÚN,2018,836
VILLARRICA,2018,3300
CHOLCHOL,2018,600
ANGOL,2018,2500
COLLIPULLI,2018,960
CURACAUTÍN,2018,773
ERCILLA,2018,567
LONQUIMAY,2018,900
LOS SAUCES,2018,298
LUMACO,2018,526
PURÉN,2018,538
RENAICO,2018,618
TRAIGUÉN,2018,2
VICTORIA,2018,871
TEMUCO,2017,3309
CARAHUE,2017,1600
CUNCO,2017,706
CURARREHUE,2017,300
FREIRE,2017,1341
GALVARINO,2017,672
GORBEA,2017,945
LAUTARO,2017,856
LONCOCHE,2017,358
MELIPEUCO,2017,497
NUEVA IMPERIAL,2017,1918
PADRE LAS CASAS,2017,1396
PERQUENCO,2017,852
PITRUFQUÉN,2017,721
PUCÓN,2017,2033
SAAVEDRA,2017,1430
TEODORO SCHMIDT,2017,660
TOLTÉN,2017,1200
VILCÚN,2017,1209
VILLARRICA,2017,1436
CHOLCHOL,2017,360
ANGOL,2017,2337
COLLIPULLI,2017,1051
ERCILLA,2017,370
LONQUIMAY,2017,570
LOS SAUCES,2017,559
PURÉN,2017,562
RENAICO,2017,277
TRAIGUÉN,2017,692
VICTORIA,2017,920
TEMUCO,2016,4130
CARAHUE,2016,1500
CUNCO,2016,552
CURARREHUE,2016,250
FREIRE,2016,680
GORBEA,2016,608
LAUTARO,2016,0
LONCOCHE,2016,800
MELIPEUCO,2016,250
NUEVA IMPERIAL,2016,1673
PADRE LAS CASAS,2016,1751
PERQUENCO,2016,714
PITRUFQUÉN,2016,2157
PUCÓN,2016,924693
SAAVEDRA,2016,757
TEODORO SCHMIDT,2016,825
TOLTÉN,2016,1000
VILCÚN,2016,1528
VILLARRICA,2016,1324
CHOLCHOL,2016,350
ANGOL,2016,8400
COLLIPULLI,2016,1003
