PERIODO_IN,RUT_EMPRES,DESCRIPCIO,REGION,SISTEMA,COD_OBRA,NOM_OBRA,ANO_CONST,ESTADO_USO,COTA_TERRE,TIP_TRATAM,PTAS_CON_P,RECEPTOR,TIPO_RECEP,CAU_MAXDIA,CAU_MEDMEN,CAU_MAXPUN,CARGA_DBO5,CARGA_SST,CARGA_NKT,CARGA_PT,TELEMETRIA,TELECONTRO,UTM_NORTE,UTM_ESTE,VIGENCIA,COORDS_X,COORDS_Y
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,LASTARRIA,10,PTAS - LASTARRIA,2001,EN_OPERACION,95,LAGUNA_AIREADA,NO_EXISTE_PEAS,Estero Pidenco,RIO_CON_DILUCION,789.23,10.2,17.3,83.34,69.45,22.24,5.6,NO_EXISTE,NO_EXISTE,5651268.68,183096.08,1,-72.67115884565112,-39.230046243071705
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,MININCO,4,PTAS - MININCO,1999,EN_OPERACION,108,LAGUNA_AIREADA,NO_EXISTE_PEAS,Río Mininco,RIO_CON_DILUCION,1502,17.4,17.4,121,103,21.03,4.57,NO_EXISTE,NO_EXISTE,5811882.74,194888.83,1,-72.46476383069648,-37.78950384657457
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,ERCILLA,3,PTAS - ERCILLA,1997,EN_OPERACION,284,LAGUNA_AIREADA,NO_EXISTE_PEAS,Río Huequen,RIO_CON_DILUCION,866.3,13.5,23.7,95.7,76.6,22,4.8,NO_EXISTE,NO_EXISTE,5781323.89,203131.82,1,-72.38390275697455,-38.067165696973106
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,LOS SAUCES,5,PTAS - LOS SAUCES,1998,EN_OPERACION,106,LAGUNA_AIREADA,NO_EXISTE_PEAS,Río Rehue,RIO_SIN_DILUCION,1722.47,13.7,27.1,649,590,162.25,32.45,NO_EXISTE,NO_EXISTE,5790992.12,163851.92,1,-72.82624434189718,-37.966489878947364
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,PUREN,2,PTAS - PUREN,1998,EN_OPERACION,81,LAGUNA_AIREADA,NO_EXISTE_PEAS,Estero Boyeco,RIO_CON_DILUCION,2061.29,22.5,48.6,633.64,456.22,145.74,31.68,NO_EXISTE,NO_EXISTE,5784174.1,143594.13,1,-73.05969613757648,-38.0200657245811
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,CAPITAN PASTENE,1,PTAS - CAPITAN PASTENE,1993,EN_OPERACION,172,LAGUNA_AIREADA,NO_EXISTE_PEAS,Estero Pideco,RIO_CON_DILUCION,1734,18.5,34.7,330.5,270,22.33,4.86,NO_EXISTE,NO_EXISTE,5765571.66,151710,1,-72.97652826107776,-38.19047445164225
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,GALVARINO,6,PTAS - GALVARINO,1993,EN_OPERACION,44,LAGUNA_FACULTATIVA_O_ESTABILIZACION,NO_EXISTE_PEAS,Río Quillem,RIO_CON_DILUCION,1680.16,18.6,40.7,263.73,189.89,60.66,13.19,NO_EXISTE,NO_EXISTE,5742364.73,168786,1,-72.79283499212549,-38.40560543183395
200912,96889730,EMPRESA DE SERVICIOS SANITARIOS SAN ISIDRO S.A.,REGION DE LA ARAUCANIA,PILLANLELBUN,102,PTAS - PILLANLELBUN,2003,EN_OPERACION,70,LODOS_ACTIVADOS,NO_EXISTE_PEAS,Rio Cautin,RIO_SIN_DILUCION,30,8,40,30,48,50,15,NO_EXISTE,NO_EXISTE,5717743.99,199962.49,1,-72.44701095758862,-38.63809427141287
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,CHERQUENCO,9,PTAS - CHERQUENCO,2001,EN_OPERACION,496,LAGUNA_AIREADA,NO_EXISTE_PEAS,Río Quepe,RIO_CON_DILUCION,292.9,5.92,15.53,135,101.3,40.5,6.8,NO_EXISTE,NO_EXISTE,5713099.08,237443.4,1,-72.01875795623576,-38.691787748029235
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,PUCON,7,PTAS - PUCON,2000,EN_OPERACION,225,LODOS_ACTIVADOS,NO_EXISTE_PEAS,Río Claro,LAGO,27254.08,298.6,434.3,3235,1915,409,70,EXISTE,EXISTE,5649750.49,244522.86,1,-71.9611331583585,-39.26396075476527
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,LUMACO,11,PTAS - LUMACO,2002,EN_OPERACION,63,LODOS_ACTIVADOS,NO_EXISTE_PEAS,Río Lumaco,RIO_CON_DILUCION,723.56,10.2,21.6,118.86,85.58,27.34,5.94,NO_EXISTE,NO_EXISTE,5767827.83,157741.49,1,-72.90672898852323,-38.17249853013399
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,VICTORIA,8,PTAS - VICTORIA,2001,EN_OPERACION,295,LAGUNA_AIREADA,NO_EXISTE_PEAS,Río Traiguén,RIO_CON_DILUCION,11571.15,128.2,214.8,1549,1162,309.8,77.5,NO_EXISTE,NO_EXISTE,5765176.47,205826.37,1,-72.35990039161595,-38.213326853137644
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,QUITRATUE,14,PTAS - QUITRATUÉ,2003,EN_OPERACION,89,LODOS_ACTIVADOS,NO_EXISTE_PEAS,Estero Puyehue,RIO_CON_DILUCION,334.74,3.8,7.3,35.7,25.7,8.21,1.79,NO_EXISTE,NO_EXISTE,5659949.88,183925.51,1,-72.6575141548423,-39.15228158562578
200812,99561030,AGUAS ARAUCANIA S.A.,REGION DE LA ARAUCANIA,GORBEA,17,PTAS - GORBEA,2006,EN_OPERACION,87,LAGUNA_AIREADA,NO_EXISTE_PEAS,Río Donguil,RIO_CON_DILUCION,2250.65,25.21,41.83,526.88,421.5,121.18,26.34,NO_EXISTE,NO_EXISTE,5667006.46,180470.53,1,-72.69409692466485,-39.08756530008727
