code,municipality,year,numero_de_psu_igual_o_superior_a_450_puntos_que_rinde_la_prueba_por_primera_vez_en_colegios_municipales,numero_de_alumnos_de_4º_medio_de_colegios_municipales_que_rindieron_la_psu_por_primera_vez,numero_de_psu_igual_o_superior_a_450_puntos_que_rinde_la_prueba_por_primera_vez_en_colegios_particulares_subvencionados,numero_de_alumnos_de_4º_medio_de_colegios_particulares_subvencionados_que_rindieron_la_psu_por_primera_vez,numero_de_psu_igual_o_superior_a_450_puntos_que_rinde_la_prueba_por_primera_vez_en_colegios_particulares_pagados,numero_de_alumnos_de_4º_medio_de_colegios_particulares_que_rindieron_la_psu_por_primera_vez,porcentaje_de_puntajes_psu_igual_o_superior_a_450_puntos_en_establecimientos_municipales_de_educacion,porcentaje_de_puntajes_psu_igual_o_superior_a_450_puntos_en_establecimientos_particulares_subvencionados_de_educacion,porcentaje_de_puntajes_psu_igual_o_superior_a_450_puntos_en_establecimientos_particulares_pagados_de_educacion
09101,TEMUCO,2018,678,992,2075,2931,295,309,68.35,70.79,95.47
09102,CARAHUE,2018,96,197,17,50,0,0,48.73,34,0
09103,CUNCO,2018,47,88,32,83,0,0,53.41,38.55,0
09104,CURARREHUE,2018,8,21,0,0,0,0,38.1,0,0
09105,FREIRE,2018,23,66,18,34,0,0,34.85,52.94,0
09106,GALVARINO,2018,18,55,3,19,0,0,32.73,15.79,0
09107,GORBEA,2018,11,44,1,3,0,0,25,33.33,0
09108,LAUTARO,2018,111,255,2,6,0,0,43.53,33.33,0
09109,LONCOCHE,2018,77,123,38,58,0,0,62.6,65.52,0
09110,MELIPEUCO,2018,13,23,6,22,0,0,56.52,27.27,0
09111,NUEVA IMPERIAL,2018,84,194,100,171,0,0,43.3,58.48,0
09112,PADRE LAS CASAS,2018,0,0,128,266,0,0,0,48.12,0
09113,PERQUENCO,2018,36,73,4,13,0,0,49.32,30.77,0
09114,PITRUFQUÉN,2018,43,87,204,346,0,0,49.43,58.96,0
09115,PUCÓN,2018,57,104,120,203,0,0,54.81,59.11,0
09116,SAAVEDRA,2018,9,23,2,11,0,0,39.13,18.18,0
09117,TEODORO SCHMIDT,2018,7,14,4,8,0,0,50,50,0
09118,TOLTÉN,2018,14,33,0,0,0,0,42.42,0,0
09119,VILCÚN,2018,52,88,46,83,0,0,59.09,55.42,0
09120,VILLARRICA,2018,141,214,398,567,28,28,65.89,70.19,100
09121,CHOLCHOL,2018,3,13,32,110,0,0,23.08,29.09,0
09201,ANGOL,2018,275,564,117,182,24,24,48.76,64.29,100
09202,COLLIPULLI,2018,29,75,55,74,0,0,38.67,74.32,0
09203,CURACAUTÍN,2018,67,147,0,0,0,0,45.58,0,0
09204,ERCILLA,2018,4,12,3,7,0,0,33.33,42.86,0
09205,LONQUIMAY,2018,31,74,0,0,0,0,41.89,0,0
09206,LOS SAUCES,2018,15,63,0,0,0,0,23.81,0,0
09207,LUMACO,2018,5,25,0,0,0,0,20,0,0
09208,PURÉN,2018,52,91,0,0,0,0,57.14,0,0
09209,RENAICO,2018,7,40,0,0,0,0,17.5,0,0
09210,TRAIGUÉN,2018,62,136,62,87,0,0,45.59,71.26,0
09211,VICTORIA,2018,100,286,121,162,0,0,34.97,74.69,0
