cod_com,comuna,agno,grado,prom_lect2b_com,dif_lect2b_com,sigdif_lect2b_com
22,ANGOL,2015,2b,256,-4,No significativa
1,CARAHUE,2015,2b,239,-2,No significativa
2,CHOLCHOL,2015,2b,247,12,Positiva y significativa
23,COLLIPULLI,2015,2b,238,-8,No significativa
3,CUNCO,2015,2b,240,-3,No significativa
24,CURACAUTÍN,2015,2b,236,-2,No significativa
12,CURARREHUE,2015,2b,247,-12,Negativa y significativa
25,ERCILLA,2015,2b,250,7,No significativa
13,FREIRE,2015,2b,242,1,No significativa
4,GALVARINO,2015,2b,234,2,No significativa
14,GORBEA,2015,2b,258,10,No significativa
5,LAUTARO,2015,2b,246,-1,No significativa
15,LONCOCHE,2015,2b,246,-5,No significativa
26,LONQUIMAY,2015,2b,239,8,No significativa
27,LOS SAUCES,2015,2b,251,-6,No significativa
28,LUMACO,2015,2b,228,-30,Negativa y significativa
6,MELIPEUCO,2015,2b,239,5,No significativa
7,NUEVA IMPERIAL,2015,2b,250,2,No significativa
16,PADRE LAS CASAS,2015,2b,245,-1,No significativa
8,PERQUENCO,2015,2b,230,-9,No significativa
17,PITRUFQUÉN,2015,2b,251,-2,No significativa
18,PUCÓN,2015,2b,253,-11,Negativa y significativa
29,PURÉN,2015,2b,253,-3,No significativa
30,RENAICO,2015,2b,242,-19,Negativa y significativa
9,SAAVEDRA,2015,2b,234,3,No significativa
10,TEMUCO,2015,2b,260,0,No significativa
19,TEODORO SCHMIDT,2015,2b,250,-1,No significativa
20,TOLTÉN,2015,2b,246,7,No significativa
31,TRAIGUÉN,2015,2b,248,-11,Negativa y significativa
32,VICTORIA,2015,2b,249,1,No significativa
11,VILCÚN,2015,2b,246,-1,No significativa
21,VILLARRICA,2015,2b,251,-6,No significativa
