cod_com,comuna,agno,grado,prom_nat2m_com,dif_nat2m_com,sigdif_nat2m_com
11201,AISÉN,2016,2m,242,-15,Negativa y significativa
5602,ALGARROBO,2016,2m,225,-4,No significativa
13502,ALHUÉ,2016,2m,210,-19,Negativa y significativa
8314,ALTO BIOBÍO,2016,2m,205,5,No significativa
3302,ALTO DEL CARMEN,2016,2m,213,13,No significativa
1107,ALTO HOSPICIO,2016,2m,227,-5,No significativa
10202,ANCUD,2016,2m,238,-7,No significativa
4103,ANDACOLLO,2016,2m,216,-14,No significativa
9201,ANGOL,2016,2m,240,-5,No significativa
2101,ANTOFAGASTA,2016,2m,237,-13,Negativa y significativa
8302,ANTUCO,2016,2m,237,3,No significativa
12202,ANTÁRTICA,2016,2m,NA,NA,NA
8202,ARAUCO,2016,2m,229,-19,Negativa y significativa
15101,ARICA,2016,2m,237,-4,No significativa
13402,BUIN,2016,2m,243,-1,No significativa
8402,BULNES,2016,2m,230,-9,Negativa y significativa
5402,CABILDO,2016,2m,233,-11,Negativa y significativa
12201,CABO DE HORNOS,2016,2m,220,-40,Negativa y significativa
8303,CABRERO,2016,2m,221,4,No significativa
2201,CALAMA,2016,2m,244,-6,No significativa
10102,CALBUCO,2016,2m,228,-22,Negativa y significativa
3102,CALDERA,2016,2m,220,-21,Negativa y significativa
5502,CALERA,2016,2m,242,-4,No significativa
13403,CALERA DE TANGO,2016,2m,261,0,No significativa
5302,CALLE LARGA,2016,2m,241,6,No significativa
15102,CAMARONES,2016,2m,228,0,No significativa
1402,CAMIÑA,2016,2m,234,33,Positiva y significativa
4202,CANELA,2016,2m,235,29,Positiva y significativa
9102,CARAHUE,2016,2m,212,-3,No significativa
5603,CARTAGENA,2016,2m,225,-20,Negativa y significativa
5102,CASABLANCA,2016,2m,237,-7,No significativa
10201,CASTRO,2016,2m,241,-12,Negativa y significativa
5702,CATEMU,2016,2m,224,1,No significativa
7201,CAUQUENES,2016,2m,232,-4,No significativa
8203,CAÑETE,2016,2m,238,-7,No significativa
13102,CERRILLOS,2016,2m,235,-3,No significativa
13103,CERRO NAVIA,2016,2m,223,-5,No significativa
10401,CHAITÉN,2016,2m,243,8,No significativa
7202,CHANCO,2016,2m,211,-10,No significativa
3201,CHAÑARAL,2016,2m,211,-15,Negativa y significativa
8103,CHIGUAYANTE,2016,2m,248,-20,Negativa y significativa
11401,CHILE CHICO,2016,2m,238,-4,No significativa
8401,CHILLÁN,2016,2m,245,-10,Negativa y significativa
8406,CHILLÁN VIEJO,2016,2m,219,-8,No significativa
6303,CHIMBARONGO,2016,2m,230,-12,Negativa y significativa
9121,CHOLCHOL,2016,2m,221,4,No significativa
10203,CHONCHI,2016,2m,214,-8,No significativa
6302,CHÉPICA,2016,2m,224,0,No significativa
11202,CISNES,2016,2m,228,-13,No significativa
8403,COBQUECURA,2016,2m,212,-2,No significativa
10103,COCHAMÓ,2016,2m,220,0,No significativa
11301,COCHRANE,2016,2m,218,-27,Negativa y significativa
6102,CODEGUA,2016,2m,221,7,No significativa
8404,COELEMU,2016,2m,232,2,No significativa
11101,COIHAIQUE,2016,2m,241,-10,Negativa y significativa
8405,COIHUECO,2016,2m,240,11,Positiva y significativa
6103,COINCO,2016,2m,232,15,No significativa
7402,COLBÚN,2016,2m,212,-7,No significativa
1403,COLCHANE,2016,2m,197,0,No significativa
13301,COLINA,2016,2m,255,-4,No significativa
9202,COLLIPULLI,2016,2m,219,-14,Negativa y significativa
6104,COLTAUCO,2016,2m,221,1,No significativa
4302,COMBARBALÁ,2016,2m,231,-1,No significativa
8101,CONCEPCIÓN,2016,2m,250,-8,Negativa y significativa
13104,CONCHALÍ,2016,2m,221,-11,Negativa y significativa
5103,CONCÓN,2016,2m,263,-6,No significativa
7102,CONSTITUCIÓN,2016,2m,244,-9,Negativa y significativa
