cod_com,comuna,agno,grado,prom_soc2m_com,dif_soc2m_com,sigdif_soc2m_com
1,AISÉN,2015,2m,259,NA,NA
13,ALGARROBO,2015,2m,231,NA,NA
43,ALHUÉ,2015,2m,238,NA,NA
8,ALTO BIOBÍO,2015,2m,214,NA,NA
6,ALTO DEL CARMEN,2015,2m,229,NA,NA
1,ALTO HOSPICIO,2015,2m,246,NA,NA
1,ANCUD,2015,2m,245,NA,NA
5,ANDACOLLO,2015,2m,238,NA,NA
22,ANGOL,2015,2m,250,NA,NA
1,ANTOFAGASTA,2015,2m,244,NA,NA
9,ANTUCO,2015,2m,241,NA,NA
1,ANTÁRTICA,2015,2m,NA,NA,NA
1,ARAUCO,2015,2m,239,NA,NA
1,ARICA,2015,2m,244,NA,NA
34,BUIN,2015,2m,252,NA,NA
34,BULNES,2015,2m,249,NA,NA
1,CABILDO,2015,2m,250,NA,NA
2,CABO DE HORNOS,2015,2m,221,NA,NA
10,CABRERO,2015,2m,215,NA,NA
7,CALAMA,2015,2m,250,NA,NA
11,CALBUCO,2015,2m,240,NA,NA
1,CALDERA,2015,2m,245,NA,NA
2,CALERA,2015,2m,247,NA,NA
35,CALERA DE TANGO,2015,2m,253,NA,NA
19,CALLE LARGA,2015,2m,234,NA,NA
2,CAMARONES,2015,2m,220,NA,NA
3,CAMIÑA,2015,2m,236,NA,NA
1,CANELA,2015,2m,235,NA,NA
1,CARAHUE,2015,2m,235,NA,NA
14,CARTAGENA,2015,2m,245,NA,NA
29,CASABLANCA,2015,2m,249,NA,NA
2,CASTRO,2015,2m,253,NA,NA
20,CATEMU,2015,2m,231,NA,NA
1,CAUQUENES,2015,2m,241,NA,NA
2,CAÑETE,2015,2m,244,NA,NA
26,CERRILLOS,2015,2m,246,NA,NA
27,CERRO NAVIA,2015,2m,235,NA,NA
28,CHAITÉN,2015,2m,256,NA,NA
2,CHANCO,2015,2m,210,NA,NA
2,CHAÑARAL,2015,2m,216,NA,NA
22,CHIGUAYANTE,2015,2m,263,NA,NA
2,CHILE CHICO,2015,2m,250,NA,NA
35,CHILLÁN,2015,2m,252,NA,NA
36,CHILLÁN VIEJO,2015,2m,235,NA,NA
24,CHIMBARONGO,2015,2m,249,NA,NA
2,CHOLCHOL,2015,2m,231,NA,NA
3,CHONCHI,2015,2m,230,NA,NA
25,CHÉPICA,2015,2m,222,NA,NA
3,CISNES,2015,2m,250,NA,NA
37,COBQUECURA,2015,2m,215,NA,NA
12,COCHAMÓ,2015,2m,237,NA,NA
4,COCHRANE,2015,2m,241,NA,NA
1,CODEGUA,2015,2m,208,NA,NA
38,COELEMU,2015,2m,238,NA,NA
5,COIHAIQUE,2015,2m,255,NA,NA
39,COIHUECO,2015,2m,236,NA,NA
2,COINCO,2015,2m,245,NA,NA
13,COLBÚN,2015,2m,231,NA,NA
4,COLCHANE,2015,2m,236,NA,NA
10,COLINA,2015,2m,261,NA,NA
23,COLLIPULLI,2015,2m,228,NA,NA
3,COLTAUCO,2015,2m,232,NA,NA
11,COMBARBALÁ,2015,2m,234,NA,NA
23,CONCEPCIÓN,2015,2m,253,NA,NA
11,CONCHALÍ,2015,2m,232,NA,NA
30,CONCÓN,2015,2m,274,NA,NA
21,CONSTITUCIÓN,2015,2m,251,NA,NA
3,CONTULMO,2015,2m,239,NA,NA
3,COPIAPÓ,2015,2m,239,NA,NA
