cod_com,comuna,agno,grado,prom_lect2m_com,prom_mate2m_com,dif_lect2m_com,dif_mate2m_com,sigdif_lect2m_com,sigdif_mate2m_com
1,AISÉN,2015,2m,257,265,-8,-9,No significativa,No significativa
13,ALGARROBO,2015,2m,223,223,-10,-3,No significativa,No significativa
43,ALHUÉ,2015,2m,207,202,-8,-13,No significativa,No significativa
8,ALTO BIOBÍO,2015,2m,204,168,0,1,No significativa,No significativa
6,ALTO DEL CARMEN,2015,2m,223,206,12,0,No significativa,No significativa
1,ALTO HOSPICIO,2015,2m,243,252,-1,2,No significativa,No significativa
1,ANCUD,2015,2m,249,259,-6,2,No significativa,No significativa
5,ANDACOLLO,2015,2m,240,239,1,2,No significativa,No significativa
22,ANGOL,2015,2m,250,257,-6,0,No significativa,No significativa
1,ANTOFAGASTA,2015,2m,240,254,-15,-13,Negativa y significativa,Negativa y significativa
9,ANTUCO,2015,2m,237,236,-28,-20,Negativa y significativa,Negativa y significativa
1,ANTÁRTICA,2015,2m,NA,NA,NA,NA,NA,NA
1,ARAUCO,2015,2m,242,253,-12,-10,Negativa y significativa,Negativa y significativa
1,ARICA,2015,2m,248,261,0,3,No significativa,No significativa
34,BUIN,2015,2m,248,262,0,7,No significativa,Positiva y significativa
34,BULNES,2015,2m,245,251,-5,-5,No significativa,No significativa
1,CABILDO,2015,2m,252,268,0,6,No significativa,No significativa
2,CABO DE HORNOS,2015,2m,252,275,-19,7,Negativa y significativa,No significativa
10,CABRERO,2015,2m,222,221,1,0,No significativa,No significativa
7,CALAMA,2015,2m,253,266,-5,-1,No significativa,No significativa
11,CALBUCO,2015,2m,246,249,-11,-2,Negativa y significativa,No significativa
1,CALDERA,2015,2m,244,245,-10,-11,No significativa,Negativa y significativa
2,CALERA,2015,2m,247,265,-4,3,No significativa,No significativa
35,CALERA DE TANGO,2015,2m,244,270,-6,2,No significativa,No significativa
19,CALLE LARGA,2015,2m,243,245,9,14,No significativa,Positiva y significativa
2,CAMARONES,2015,2m,222,211,NA,NA,NA,NA
3,CAMIÑA,2015,2m,257,236,41,13,Positiva y significativa,No significativa
1,CANELA,2015,2m,226,227,-23,17,Negativa y significativa,No significativa
1,CARAHUE,2015,2m,236,216,1,-2,No significativa,No significativa
14,CARTAGENA,2015,2m,261,258,5,-7,No significativa,No significativa
29,CASABLANCA,2015,2m,254,258,0,3,No significativa,No significativa
2,CASTRO,2015,2m,254,264,-6,-9,No significativa,Negativa y significativa
20,CATEMU,2015,2m,244,228,13,3,Positiva y significativa,No significativa
1,CAUQUENES,2015,2m,247,246,-1,5,No significativa,No significativa
2,CAÑETE,2015,2m,250,250,-6,-8,No significativa,No significativa
26,CERRILLOS,2015,2m,250,258,12,4,Positiva y significativa,No significativa
27,CERRO NAVIA,2015,2m,234,241,7,9,No significativa,Positiva y significativa
28,CHAITÉN,2015,2m,247,229,3,-10,No significativa,No significativa
2,CHANCO,2015,2m,227,208,8,5,No significativa,No significativa
2,CHAÑARAL,2015,2m,213,202,-24,-16,Negativa y significativa,Negativa y significativa
22,CHIGUAYANTE,2015,2m,257,292,-2,2,No significativa,No significativa
2,CHILE CHICO,2015,2m,237,272,4,37,No significativa,Positiva y significativa
35,CHILLÁN,2015,2m,252,268,-6,-1,Negativa y significativa,No significativa
36,CHILLÁN VIEJO,2015,2m,236,237,4,4,No significativa,No significativa
24,CHIMBARONGO,2015,2m,249,246,4,7,No significativa,No significativa
2,CHOLCHOL,2015,2m,231,217,7,4,No significativa,No significativa
3,CHONCHI,2015,2m,226,234,4,11,No significativa,Positiva y significativa
25,CHÉPICA,2015,2m,224,224,NA,NA,NA,NA
3,CISNES,2015,2m,264,254,16,5,Positiva y significativa,No significativa
37,COBQUECURA,2015,2m,219,203,6,10,No significativa,No significativa
12,COCHAMÓ,2015,2m,243,232,NA,NA,NA,NA
4,COCHRANE,2015,2m,259,239,1,-12,No significativa,No significativa
1,CODEGUA,2015,2m,209,189,-7,-22,No significativa,Negativa y significativa
38,COELEMU,2015,2m,239,249,-6,-3,No significativa,No significativa
5,COIHAIQUE,2015,2m,242,265,-5,0,No significativa,No significativa
39,COIHUECO,2015,2m,232,239,5,3,No significativa,No significativa
