cod_com,comuna,agno,grado,prom_nat6b_com,sigdif_nat6b_com
9201,Angol,2018,6b,249,0
9202,Collipulli,2018,6b,236,0
9203,Curacautín,2018,6b,221,0
9204,Ercilla,2018,6b,225,0
9205,Lonquimay,2018,6b,233,0
9206,Los Sauces,2018,6b,255,1
9118,Toltén,2018,6b,229,0
9120,Villarrica,2018,6b,258,0
9107,Gorbea,2018,6b,231,0
9109,Loncoche,2018,6b,242,0
9112,Padre las Casas,2018,6b,247,0
9114,Pitrufquén,2018,6b,249,0
9115,Pucón,2018,6b,265,0
9117,Teodoro Schmidt,2018,6b,227,0
9113,Perquenco,2018,6b,236,0
9116,Saavedra,2018,6b,232,0
9119,Vilcún,2018,6b,248,0
9121,Cholchol,2018,6b,221,0
9104,Curarrehue,2018,6b,232,0
9105,Freire,2018,6b,240,0
9102,Carahue,2018,6b,235,0
9103,Cunco,2018,6b,240,0
9106,Galvarino,2018,6b,217,-1
9108,Lautaro,2018,6b,240,0
9110,Melipeuco,2018,6b,227,0
9111,Nueva Imperial,2018,6b,246,0
9207,Lumaco,2018,6b,220,0
9208,Purén,2018,6b,249,1
9209,Renaico,2018,6b,237,0
9210,Traiguén,2018,6b,241,0
9211,Victoria,2018,6b,238,0
9101,Temuco,2018,6b,265,1
