cod_com,comuna,agno,grado,prom_lect8b_com,prom_mate8b_com,dif_lect8b_com,dif_mate8b_com,sigdif_lect8b_com,sigdif_mate8b_com
22,ANGOL,2015,8b,250,266,7,6,Positiva y significativa,No significativa
1,CARAHUE,2015,8b,244,243,5,2,No significativa,No significativa
2,CHOLCHOL,2015,8b,226,229,12,6,Positiva y significativa,No significativa
23,COLLIPULLI,2015,8b,241,245,15,9,Positiva y significativa,Positiva y significativa
3,CUNCO,2015,8b,239,238,2,-4,No significativa,No significativa
24,CURACAUTÍN,2015,8b,221,231,-2,-2,No significativa,No significativa
12,CURARREHUE,2015,8b,242,234,17,8,Positiva y significativa,No significativa
25,ERCILLA,2015,8b,224,218,8,-17,No significativa,Negativa y significativa
13,FREIRE,2015,8b,240,240,2,7,No significativa,No significativa
4,GALVARINO,2015,8b,238,226,9,-6,No significativa,No significativa
14,GORBEA,2015,8b,240,244,8,-1,No significativa,No significativa
5,LAUTARO,2015,8b,236,244,5,-2,No significativa,No significativa
15,LONCOCHE,2015,8b,257,258,0,-1,No significativa,No significativa
26,LONQUIMAY,2015,8b,226,226,-2,-3,No significativa,No significativa
27,LOS SAUCES,2015,8b,236,236,14,-2,Positiva y significativa,No significativa
28,LUMACO,2015,8b,224,224,3,-2,No significativa,No significativa
6,MELIPEUCO,2015,8b,250,247,29,21,Positiva y significativa,Positiva y significativa
7,NUEVA IMPERIAL,2015,8b,233,241,4,0,No significativa,No significativa
16,PADRE LAS CASAS,2015,8b,238,249,3,3,No significativa,No significativa
8,PERQUENCO,2015,8b,218,227,3,3,No significativa,No significativa
17,PITRUFQUÉN,2015,8b,245,257,6,3,No significativa,No significativa
18,PUCÓN,2015,8b,250,265,11,9,Positiva y significativa,Positiva y significativa
29,PURÉN,2015,8b,240,251,1,-6,No significativa,No significativa
30,RENAICO,2015,8b,221,238,-5,-5,No significativa,No significativa
9,SAAVEDRA,2015,8b,228,225,5,2,No significativa,No significativa
10,TEMUCO,2015,8b,247,269,1,2,No significativa,No significativa
19,TEODORO SCHMIDT,2015,8b,226,226,2,0,No significativa,No significativa
20,TOLTÉN,2015,8b,238,243,3,-4,No significativa,No significativa
31,TRAIGUÉN,2015,8b,247,251,4,6,No significativa,No significativa
32,VICTORIA,2015,8b,230,245,-2,0,No significativa,No significativa
11,VILCÚN,2015,8b,242,251,19,7,Positiva y significativa,No significativa
21,VILLARRICA,2015,8b,252,263,3,3,No significativa,No significativa
9201,ANGOL,2017,8b,249,264,-1,-2,No significativa,No significativa
9102,CARAHUE,2017,8b,231,234,-13,-10,Negativa y significativa,Negativa y significativa
9121,CHOLCHOL,2017,8b,224,222,-2,-7,No significativa,No significativa
9202,COLLIPULLI,2017,8b,235,234,-6,-11,No significativa,Negativa y significativa
9103,CUNCO,2017,8b,235,238,-4,0,No significativa,No significativa
9203,CURACAUTÍN,2017,8b,226,228,4,-3,No significativa,No significativa
9104,CURARREHUE,2017,8b,240,226,0,-7,No significativa,No significativa
9204,ERCILLA,2017,8b,232,220,8,2,No significativa,No significativa
9105,FREIRE,2017,8b,234,229,-6,-11,No significativa,Negativa y significativa
