cod_com,comuna,agno,grado,prom_soc8b_com,dif_soc8b_com,sigdif_soc8b_com
9101,Temuco,2019,8b,256,-13,-1
9102,Carahue,2019,8b,242,-3,0
9103,Cunco,2019,8b,242,-7,0
9104,Curarrehue,2019,8b,240,-1,0
9105,Freire,2019,8b,239,-5,0
9106,Galvarino,2019,8b,236,1,0
9210,Traiguén,2019,8b,237,-36,-1
9211,Victoria,2019,8b,241,-9,-1
9204,Ercilla,2019,8b,228,-14,-1
9205,Lonquimay,2019,8b,228,-12,-1
9206,Los Sauces,2019,8b,243,6,0
9207,Lumaco,2019,8b,234,-2,0
9208,Purén,2019,8b,236,-18,-1
9209,Renaico,2019,8b,241,3,0
9119,Vilcún,2019,8b,244,-4,0
9120,Villarrica,2019,8b,258,-7,0
9121,Cholchol,2019,8b,237,7,0
9201,Angol,2019,8b,251,-10,-1
9202,Collipulli,2019,8b,241,-2,0
9203,Curacautín,2019,8b,230,-12,-1
9113,Perquenco,2019,8b,230,-12,0
9114,Pitrufquén,2019,8b,248,-7,0
9115,Pucón,2019,8b,257,-5,0
9116,Saavedra,2019,8b,241,10,0
9117,Teodoro Schmidt,2019,8b,234,-10,0
9118,Toltén,2019,8b,248,-2,0
9107,Gorbea,2019,8b,234,-18,-1
9108,Lautaro,2019,8b,237,-13,-1
9109,Loncoche,2019,8b,256,-3,0
9110,Melipeuco,2019,8b,245,10,0
9111,Nueva Imperial,2019,8b,243,-5,0
9112,Padre las Casas,2019,8b,243,-9,-1
