municipality,year,subsidios_de_agua_potable_sap_otorgados_por_la_comuna_a_zonas_rurales
TEMUCO,2018,83
CARAHUE,2018,759
CUNCO,2018,407
CURARREHUE,2018,0
FREIRE,2018,188
GALVARINO,2018,116
GORBEA,2018,0
LAUTARO,2018,51
LONCOCHE,2018,334
MELIPEUCO,2018,164
NUEVA IMPERIAL,2018,351
PADRE LAS CASAS,2018,121
PERQUENCO,2018,440
PITRUFQUÉN,2018,87
PUCÓN,2018,190
SAAVEDRA,2018,118
TEODORO SCHMIDT,2018,280
TOLTÉN,2018,206
VILCÚN,2018,113
VILLARRICA,2018,72
CHOLCHOL,2018,31
ANGOL,2018,174
COLLIPULLI,2018,109
CURACAUTÍN,2018,102
ERCILLA,2018,72
LONQUIMAY,2018,26
LOS SAUCES,2018,70
LUMACO,2018,95
PURÉN,2018,119
RENAICO,2018,369
TRAIGUÉN,2018,31
VICTORIA,2018,172
TEMUCO,2017,27
CARAHUE,2017,743
CUNCO,2017,398
CURARREHUE,2017,84
FREIRE,2017,410
GALVARINO,2017,0
GORBEA,2017,0
LAUTARO,2017,72
LONCOCHE,2017,395
MELIPEUCO,2017,217
NUEVA IMPERIAL,2017,333
PADRE LAS CASAS,2017,91
PERQUENCO,2017,440
PITRUFQUÉN,2017,0
PUCÓN,2017,206
SAAVEDRA,2017,118
TEODORO SCHMIDT,2017,271
TOLTÉN,2017,512
VILCÚN,2017,137
VILLARRICA,2017,50
CHOLCHOL,2017,12
ANGOL,2017,130
COLLIPULLI,2017,57
CURACAUTÍN,2017,96
LONQUIMAY,2017,19
LOS SAUCES,2017,16
PURÉN,2017,304
RENAICO,2017,391
TRAIGUÉN,2017,17
VICTORIA,2017,129
TEMUCO,2016,49
CARAHUE,2016,170
CUNCO,2016,393
CURARREHUE,2016,130
FREIRE,2016,422
GORBEA,2016,0
LAUTARO,2016,70
LONCOCHE,2016,323
MELIPEUCO,2016,548
NUEVA IMPERIAL,2016,0
PADRE LAS CASAS,2016,118
PERQUENCO,2016,382
PITRUFQUÉN,2016,254
PUCÓN,2016,82
TEODORO SCHMIDT,2016,274
TOLTÉN,2016,137
VILCÚN,2016,128
VILLARRICA,2016,35
CHOLCHOL,2016,41
ANGOL,2016,133
COLLIPULLI,2016,96
CURACAUTÍN,2016,42
ERCILLA,2016,273
LONQUIMAY,2016,21
LOS SAUCES,2016,75
LUMACO,2016,1
PURÉN,2016,119
RENAICO,2016,863
TRAIGUÉN,2016,3
VICTORIA,2016,0
TEMUCO,2015,54
CARAHUE,2015,751
CUNCO,2015,424
CURARREHUE,2015,164
FREIRE,2015,390
GALVARINO,2015,10
GORBEA,2015,0
LAUTARO,2015,49
LONCOCHE,2015,359
MELIPEUCO,2015,570
NUEVA IMPERIAL,2015,388
PADRE LAS CASAS,2015,132
PERQUENCO,2015,470
PITRUFQUÉN,2015,317
PUCÓN,2015,80
SAAVEDRA,2015,117
TEODORO SCHMIDT,2015,292
TOLTÉN,2015,169
VILCÚN,2015,91
VILLARRICA,2015,45
CHOLCHOL,2015,64
ANGOL,2015,127
COLLIPULLI,2015,85
CURACAUTÍN,2015,244
ERCILLA,2015,650
LONQUIMAY,2015,34
LOS SAUCES,2015,20
LUMACO,2015,33
PURÉN,2015,130
RENAICO,2015,421
TRAIGUÉN,2015,6
VICTORIA,2015,141
TEMUCO,2014,23
CARAHUE,2014,847
CUNCO,2014,425
CURARREHUE,2014,148
FREIRE,2014,501
GALVARINO,2014,21
