municipality,year,subsidios_de_agua_potable_sap_otorgados_por_la_comuna_a_zonas_urbanas
TEMUCO,2018,3657
CARAHUE,2018,1548
CUNCO,2018,979
CURARREHUE,2018,0
FREIRE,2018,161
GALVARINO,2018,632
GORBEA,2018,487
LAUTARO,2018,887
LONCOCHE,2018,1584
MELIPEUCO,2018,0
NUEVA IMPERIAL,2018,1625
PADRE LAS CASAS,2018,1064
PERQUENCO,2018,0
PITRUFQUÉN,2018,431
PUCÓN,2018,1350
SAAVEDRA,2018,371
TEODORO SCHMIDT,2018,0
TOLTÉN,2018,153
VILCÚN,2018,299
VILLARRICA,2018,962
CHOLCHOL,2018,175
ANGOL,2018,5200
COLLIPULLI,2018,589
CURACAUTÍN,2018,829
ERCILLA,2018,115
LONQUIMAY,2018,615
LOS SAUCES,2018,665
LUMACO,2018,644
PURÉN,2018,572
RENAICO,2018,1309
TRAIGUÉN,2018,547
VICTORIA,2018,994
TEMUCO,2017,4123
CARAHUE,2017,1599
CUNCO,2017,982
CURARREHUE,2017,0
FREIRE,2017,618
GALVARINO,2017,0
GORBEA,2017,577
LAUTARO,2017,1234
LONCOCHE,2017,1611
MELIPEUCO,2017,0
NUEVA IMPERIAL,2017,1596
PADRE LAS CASAS,2017,734
PERQUENCO,2017,0
PITRUFQUÉN,2017,92
PUCÓN,2017,1421
SAAVEDRA,2017,371
TEODORO SCHMIDT,2017,0
TOLTÉN,2017,368
VILCÚN,2017,757
VILLARRICA,2017,1829
CHOLCHOL,2017,238
ANGOL,2017,5198
COLLIPULLI,2017,760
CURACAUTÍN,2017,775
LONQUIMAY,2017,584
LOS SAUCES,2017,263
PURÉN,2017,1141
RENAICO,2017,1298
TRAIGUÉN,2017,1159
VICTORIA,2017,1645
TEMUCO,2016,7180
CARAHUE,2016,210
CUNCO,2016,992
CURARREHUE,2016,0
FREIRE,2016,661
GORBEA,2016,439
LAUTARO,2016,664
LONCOCHE,2016,1541
MELIPEUCO,2016,0
NUEVA IMPERIAL,2016,1596
PADRE LAS CASAS,2016,623
PERQUENCO,2016,0
PITRUFQUÉN,2016,1675
TEODORO SCHMIDT,2016,0
TOLTÉN,2016,172
VILCÚN,2016,300
VILLARRICA,2016,1166
CHOLCHOL,2016,95
ANGOL,2016,5212
COLLIPULLI,2016,1529
CURACAUTÍN,2016,778
ERCILLA,2016,435
LONQUIMAY,2016,610
LOS SAUCES,2016,674
LUMACO,2016,322
PURÉN,2016,368
RENAICO,2016,1124
TRAIGUÉN,2016,621
VICTORIA,2016,0
TEMUCO,2015,3239
CARAHUE,2015,1625
CUNCO,2015,977
CURARREHUE,2015,0
FREIRE,2015,730
GALVARINO,2015,100
GORBEA,2015,466
LAUTARO,2015,852
LONCOCHE,2015,1576
