REGION,COMUNA,SECTOR,ZONA,NOMBRE,UPERM,UPROH,DO,Shape_Leng,Area3,COORDS_X,COORDS_Y
La Araucanía,Temuco,Temuco,APP 3 04,Teodoro Schmidt,NA,NA,2010/02/02,558.279276544,16775.2415211,-72.60347916620317,-38.74233843039915
La Araucanía,Temuco,Temuco,APP 3 05,Población Carabineros,NA,NA,2010/02/02,616.41635033,22732.658179,-72.60351583390896,-38.73336020452428
La Araucanía,Temuco,Temuco,APP 3 03,Población Dreves,NA,NA,2010/02/02,2951.62666244,402369.879773,-72.61048106576395,-38.74076745813418
La Araucanía,Temuco,Temuco,APP 3 02,Población Temuco,NA,NA,2010/02/02,1041.59741795,48894.2139068,-72.61466249842765,-38.74377121481739
La Araucanía,Temuco,Temuco,APP 3 06,Poblacion Tucapel,NA,NA,2010/02/02,1051.3651185,68239.2950342,-72.58088114840362,-38.73105321964886
La Araucanía,Temuco,Temuco,APP 3 07,Barrio Estación,NA,NA,2010/02/02,3581.99450853,483587.269721,-72.57773793437073,-38.733865742092064
La Araucanía,Temuco,Temuco,APP 3 08,Barrio Coilaco,NA,NA,2010/02/02,4147.89193893,654754.224828,-72.59611471369399,-38.73317532103561
La Araucanía,Temuco,Temuco,APP 3 09,Barrio Artemio Gutierrez,NA,NA,2010/02/02,469.427327251,8264.17332602,-72.5882642449995,-38.7324958637603
La Araucanía,Temuco,Temuco,APP 3 10,Centro Fundacional Labranza,NA,NA,2010/02/02,2290.3357286,212460.532566,-72.75113027865761,-38.76300780018625
La Araucanía,Temuco,Temuco,APP 3 11,Alemania,NA,NA,2010/02/02,6642.36849621,1634522.66057,-72.61190807928341,-38.734194968756356
La Araucanía,Temuco,Temuco,APP 3 12,Regimiento Tucapel,NA,NA,2010/02/02,1856.77570709,172751.805755,-72.59573137906996,-38.74447058303863
La Araucanía,Temuco,Temuco,APP 3 13,Centro,NA,NA,2010/02/02,4907.2075914,1276055.12494,-72.59029026405256,-38.73888439380975
La Araucanía,Temuco,Temuco,APP 3,San Francisco,NA,NA,2010/02/02,667.153289026,21972.9048083,-72.61664426112746,-38.735869776754896
